GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Payment Checkout Service,com.payment.checkout.config,RestClientConfig,15,0,0,0,4,0,4,0,4,0
Payment Checkout Service,com.payment.checkout.config,RestClientConfig.ServiceProps,10,0,0,0,3,0,3,0,3,0
Payment Checkout Service,com.payment.checkout.dto,PaymentMethodDTO,159,21,28,0,4,3,25,3,11,3
Payment Checkout Service,com.payment.checkout.service.impl,PaymentMethodServiceImpl,0,76,0,0,0,8,0,2,0,2
Payment Checkout Service,com.payment.checkout.service.impl,EngineRouteServiceImpl,0,9,0,0,0,2,0,2,0,2
Payment Checkout Service,com.payment.checkout.service.impl,RiskServiceImpl,5,0,0,0,2,0,2,0,2,0
Payment Checkout Service,com.payment.checkout.controller,CheckoutController,191,0,32,0,37,0,23,0,7,0
Payment Checkout Service,com.payment.checkout.controller,HealthController,21,0,0,0,6,0,3,0,3,0
Payment Checkout Service,com.payment.checkout.client,AcquiringClient,111,0,6,0,22,0,7,0,4,0
Payment Checkout Service,com.payment.checkout.client,EngineClient,75,3,4,0,13,1,4,1,2,1
Payment Checkout Service,com.payment.checkout,PaymentCheckoutApplication,8,0,0,0,3,0,2,0,2,0
